start point = [5, 5]

results: 
458: [1.53386179 2.37239782] = 0.2888758584596179
459: [1.5356582  2.36730964] = 0.28775118368767894
460: [1.53178912 2.36594667] = 0.2866290340779215
461: [1.53357264 2.36079255] = 0.2855003409268236
462: [1.52970071 2.35945566] = 0.2843741956974465
463: [1.53147109 2.35423326] = 0.28324113043590116
464: [1.52759572 2.35292237] = 0.28211063979291323
465: [1.52935269 2.34762922] = 0.28097283391903144
466: [1.52547326 2.34634426] = 0.2798376334776061
467: [1.52721652 2.34097776] = 0.27869470230880156
468: [1.52333241 2.3397187 ] = 0.27755441170633066
469: [1.52506163 2.33427606] = 0.2764059528290086
470: [1.52117218 2.33304288] = 0.27526017420044385
471: [1.52288701 2.32752117] = 0.27410576576045487
472: [1.51899154 2.32631387] = 0.2729540820573089
473: [1.52069158 2.32070996] = 0.2717932808691613
474: [1.51678939 2.31952856] = 0.2706352540006209
475: [1.51847421 2.31383911] = 0.26946759344989424
476: [1.51456457 2.31268366] = 0.2683027622210262
477: [1.5162337  2.30690513] = 0.2671277499301895
478: [1.51231584 2.30577568] = 0.265955627748078
479: [1.51396878 2.29990428] = 0.26477274297084696
480: [1.5100419  2.29880092] = 0.2635928152845542
481: [1.51167806 2.29283259] = 0.26240150598782375
482: [1.50774133 2.29175544] = 0.2612132274221072
483: [1.50936011 2.28568583] = 0.26001290700712676
484: [1.50541264 2.28463502] = 0.2588156981426583
485: [1.50701335 2.27845948] = 0.2576057417481853
486: [1.50305423 2.27743517] = 0.25639898549230056
487: [1.50463612 2.27114866] = 0.2551787258115634
488: [1.50066436 2.27015106] = 0.25396176329293846
489: [1.50222662 2.26374817] = 0.2527304858228808
490: [1.49824119 2.2627775 ] = 0.2515026117305064
491: [1.4997829  2.25625239] = 0.25025954935531136
492: [1.4957827  2.25530891] = 0.2490200066260877
493: [1.49730287 2.24865523] = 0.24776433341656046
494: [1.49328674 2.24773924] = 0.24651230715593941
