learning rate = 0.01
start point = [0, 0]

results: 
288: [1.9940551651381908, 0.9999999999627696] = -7.999964658938466
289: [1.9941740618354271, 0.9999999999657482] = -7.999966058444502
290: [1.9942905805987186, 0.9999999999684883] = -7.999967402530101
291: [1.9944047689867441, 0.9999999999710093] = -7.999968693389908
292: [1.9945166736070092, 0.9999999999733284] = -7.999969933131668
293: [1.994626340134869, 0.9999999999754622] = -7.9999711237796545
294: [1.9947338133321715, 0.9999999999774252] = -7.999972267277979
295: [1.994839137065528, 0.9999999999792312] = -7.999973365493772
296: [1.9949423543242175, 0.9999999999808927] = -7.9999744202202185
297: [1.9950435072377333, 0.9999999999824213] = -7.999975433179498
298: [1.9951426370929786, 0.9999999999838276] = -7.999976406025589
299: [1.995239784351119, 0.9999999999851213] = -7.999977340346976
300: [1.9953349886640965, 0.9999999999863117] = -7.999978237669236
301: [1.9954282888908146, 0.9999999999874067] = -7.999979099457534
302: [1.9955197231129984, 0.9999999999884143] = -7.999979927119016
303: [1.9956093286507384, 0.9999999999893411] = -7.999980722005103
304: [1.9956971420777228, 0.9999999999901937] = -7.999981485413701
305: [1.9957831992361683, 0.9999999999909782] = -7.999982218591318
306: [1.995867535251445, 0.9999999999916999] = -7.999982922735102
307: [1.995950184546416, 0.9999999999923638] = -7.999983598994792
308: [1.9960311808554878, 0.9999999999929747] = -7.999984248474599
309: [1.9961105572383782, 0.9999999999935367] = -7.999984872235005
310: [1.9961883460936105, 0.9999999999940538] = -7.999985471294497
311: [1.996264579171736, 0.9999999999945295] = -7.999986046631236
312: [1.9963392875883013, 0.999999999994966] = -7.999986599184639
313: [1.9964125018365353, 0.9999999999953688] = -7.999987129856927
314: [1.9964842517998045, 0.9999999999957393] = -7.999987639514593
315: [1.9965545667638083, 0.9999999999960801] = -7.9999881289898145
316: [1.9966234754285321, 0.9999999999963938] = -7.999988599081819
317: [1.9966910059199625, 0.9999999999966822] = -7.999989050558178
318: [1.9967571858015631, 0.9999999999969476] = -7.999989484156075
319: [1.9968220420855318, 0.9999999999971918] = -7.999989900583493
320: [1.9968856012438208, 0.9999999999974163] = -7.999990300520388
321: [1.9969478892189443, 0.999999999997623] = -7.99999068461978
322: [1.9970089314345654, 0.9999999999978132] = -7.999991053508837
323: [1.9970687528058741, 0.9999999999979882] = -7.999991407789887
324: [1.9971273777497567, 0.9999999999981491] = -7.999991748041407
325: [1.9971848301947615, 0.9999999999982973] = -7.999992074818968
326: [1.9972411335908662, 0.9999999999984335] = -7.999992388656136
327: [1.997296310919049, 0.9999999999985588] = -7.999992690065353
328: [1.997350384700668, 0.9999999999986741] = -7.999992979538765
329: [1.9974033770066546, 0.9999999999987802] = -7.99999325754903
330: [1.9974553094665215, 0.9999999999988778] = -7.999993524550089
331: [1.997506203277191, 0.9999999999989687] = -7.999993780977905
332: [1.9975560792116474, 0.9999999999990512] = -7.99999402725118
333: [1.9976049576274144, 0.9999999999991271] = -7.999994263772034
334: [1.997652858474866, 0.9999999999991999] = -7.999994490926661
335: [1.9976998013053688, 0.9999999999992635] = -7.999994709085965
336: [1.9977458052792616, 0.9999999999993225] = -7.999994918606161
