learning rate = 0.1
start point = [0, 0]

results: 
277: [4.6561975219893655e-07, 4.6561975219893655e-07] = -2.6753036446306168e-09
278: [4.673006946804535e-07, 4.673006946804535e-07] = -2.675303701141975e-09
279: [4.6898163719612774e-07, 4.6898163719612774e-07] = -2.675303757653324e-09
280: [4.7066257974596004e-07, 4.7066257974596004e-07] = -2.6753038141646843e-09
281: [4.723435223299502e-07, 4.723435223299502e-07] = -2.6753038706760553e-09
282: [4.7402446494809843e-07, 4.7402446494809843e-07] = -2.675303927187408e-09
283: [4.7570540760040515e-07, 4.7570540760040515e-07] = -2.675303983698772e-09
284: [4.773863502868696e-07, 4.773863502868696e-07] = -2.6753040402101467e-09
285: [4.790672930074919e-07, 4.790672930074919e-07] = -2.6753040967215124e-09
286: [4.807482357622717e-07, 4.807482357622717e-07] = -2.6753041532328896e-09
287: [4.824291785512102e-07, 4.824291785512102e-07] = -2.6753042097442486e-09
288: [4.841101213743063e-07, 4.841101213743063e-07] = -2.675304266255628e-09
289: [4.857910642315604e-07, 4.857910642315604e-07] = -2.675304322767008e-09
290: [4.874720071229728e-07, 4.874720071229728e-07] = -2.675304379278399e-09
291: [4.891529500485437e-07, 4.891529500485437e-07] = -2.6753044357897814e-09
292: [4.908338930082722e-07, 4.908338930082722e-07] = -2.6753044923011656e-09
293: [4.92514836002159e-07, 4.92514836002159e-07] = -2.675304548812551e-09
294: [4.94195779030204e-07, 4.94195779030204e-07] = -2.6753046053239365e-09
295: [4.958767220924064e-07, 4.958767220924064e-07] = -2.6753046618353245e-09
296: [4.97557665188767e-07, 4.97557665188767e-07] = -2.675304718346732e-09
297: [4.992386083192858e-07, 4.992386083192858e-07] = -2.6753047748581215e-09
298: [5.009195514839623e-07, 5.009195514839623e-07] = -2.675304831369522e-09
299: [5.026004946827979e-07, 5.026004946827979e-07] = -2.6753048878809135e-09
300: [5.042814379157916e-07, 5.042814379157916e-07] = -2.6753049443923263e-09
301: [5.059623811829425e-07, 5.059623811829425e-07] = -2.67530500090374e-09
302: [5.076433244842526e-07, 5.076433244842526e-07] = -2.6753050574151353e-09
303: [5.093242678197196e-07, 5.093242678197196e-07] = -2.675305113926542e-09
304: [5.110052111893465e-07, 5.110052111893465e-07] = -2.675305170437959e-09
305: [5.126861545931295e-07, 5.126861545931295e-07] = -2.6753052269493674e-09
306: [5.143670980310707e-07, 5.143670980310707e-07] = -2.675305283460806e-09
307: [5.1604804150317e-07, 5.1604804150317e-07] = -2.6753053399722173e-09
308: [5.177289850094298e-07, 5.177289850094298e-07] = -2.675305396483639e-09
309: [5.194099285498456e-07, 5.194099285498456e-07] = -2.6753054529950524e-09
310: [5.21090872124419e-07, 5.21090872124419e-07] = -2.675305509506486e-09
311: [5.227718157331514e-07, 5.227718157331514e-07] = -2.675305566017911e-09
312: [5.244527593760411e-07, 5.244527593760411e-07] = -2.675305622529347e-09
313: [5.26133703053089e-07, 5.26133703053089e-07] = -2.675305679040784e-09
314: [5.278146467642944e-07, 5.278146467642944e-07] = -2.6753057355522126e-09
315: [5.29495590509658e-07, 5.29495590509658e-07] = -2.6753057920636523e-09
316: [5.311765342891793e-07, 5.311765342891793e-07] = -2.6753058485750927e-09
317: [5.328574781028591e-07, 5.328574781028591e-07] = -2.675305905086535e-09
318: [5.345384219506967e-07, 5.345384219506967e-07] = -2.6753059615979873e-09
319: [5.362193658326922e-07, 5.362193658326922e-07] = -2.675306018109432e-09
320: [5.379003097488464e-07, 5.379003097488464e-07] = -2.6753060746208774e-09
321: [5.395812536991586e-07, 5.395812536991586e-07] = -2.675306131132333e-09
322: [5.412621976836288e-07, 5.412621976836288e-07] = -2.675306187643791e-09
323: [5.429431417022565e-07, 5.429431417022565e-07] = -2.6753062441552394e-09
324: [5.446240857550433e-07, 5.446240857550433e-07] = -2.675306300666699e-09
325: [5.463050298419883e-07, 5.463050298419883e-07] = -2.67530635717816e-09
326: [5.47985973963091e-07, 5.47985973963091e-07] = -2.675306413689622e-09
327: [5.496669181183519e-07, 5.496669181183519e-07] = -2.6753064702010944e-09
328: [5.513478623077704e-07, 5.513478623077704e-07] = -2.6753065267125683e-09
329: [5.53028806531347e-07, 5.53028806531347e-07] = -2.675306583224034e-09
330: [5.547097507890819e-07, 5.547097507890819e-07] = -2.6753066397354907e-09
331: [5.56390695080975e-07, 5.56390695080975e-07] = -2.6753066962469874e-09
332: [5.580716394070258e-07, 5.580716394070258e-07] = -2.675306752758456e-09
333: [5.597525837672348e-07, 5.597525837672348e-07] = -2.6753068092699358e-09
334: [5.614335281616025e-07, 5.614335281616025e-07] = -2.6753068657814164e-09
335: [5.631144725901274e-07, 5.631144725901274e-07] = -2.6753069222928895e-09
336: [5.647954170528105e-07, 5.647954170528105e-07] = -2.675306978804382e-09
337: [5.664763615496518e-07, 5.664763615496518e-07] = -2.675307035315867e-09
338: [5.681573060806512e-07, 5.681573060806512e-07] = -2.675307091827362e-09
339: [5.698382506458089e-07, 5.698382506458089e-07] = -2.6753071483388582e-09
340: [5.715191952451246e-07, 5.715191952451246e-07] = -2.675307204850346e-09
341: [5.73200139878598e-07, 5.73200139878598e-07] = -2.6753072613618447e-09
