learning rate = 0.1
start point = [0.75, -1.25]

results: 
302: [-1.5707600013241345, -1.570784206353471] = -2.267314148766526e-29
303: [-1.5707636317990983, -1.5707854174299865] = -1.836719968365791e-29
304: [-1.5707668996199213, -1.5707865075825178] = -1.4878857357899226e-29
305: [-1.5707698409773736, -1.570787488868616] = -1.2052913969952415e-29
306: [-1.5707724884573053, -1.5707883721466842] = -9.763618274365674e-30
307: [-1.5707748713984557, -1.5707891671946415] = -7.909083456482546e-30
308: [-1.570777016214989, -1.5707898828169558] = -6.406760551817573e-30
309: [-1.5707789466871886, -1.5707905269411664] = -5.189769843002299e-30
310: [-1.5707806842234167, -1.5707911067049094] = -4.2039277791246536e-30
311: [-1.570782248096147, -1.570791628534368] = -3.40533767642367e-30
312: [-1.5707836556546162, -1.5707920982149788] = -2.7584373821268347e-30
313: [-1.5707849225163852, -1.5707925209551519] = -2.2344172947741057e-30
314: [-1.570786062739892, -1.5707929014436854] = -1.809938532256933e-30
315: [-1.5707870889798627, -1.5707932439014938] = -1.4660943362798426e-30
316: [-1.5707880126272793, -1.5707935521282066] = -1.1875685819302129e-30
317: [-1.570788843935425, -1.5707938295441444] = -9.619540044760486e-31
318: [-1.570789592133389, -1.5707940792281252] = -7.791998419088549e-31
319: [-1.5707902655282704, -1.5707943039515142] = -6.311643372697099e-31
320: [-1.5707908715972025, -1.570794506208888] = -5.1125220083304745e-31
321: [-1.5707914170702086, -1.5707946882456467] = -4.141209078492929e-31
322: [-1.570791908004798, -1.570794852082879] = -3.3544276530076445e-31
323: [-1.5707923498531247, -1.5707949995397492] = -2.7171216103210056e-31
324: [-1.570792747522448, -1.570795132253655] = -2.2008941742440584e-31
325: [-1.5707931054295605, -1.5707952516983759] = -1.782742994971077e-31
326: [-1.5707934275497868, -1.570795359200411] = -1.444035468768526e-31
327: [-1.5707937174610886, -1.5707954559536896] = -1.1696786754411078e-31
328: [-1.5707939783837699, -1.5707955430328127] = -9.474469776992229e-32
329: [-1.5707942132162158, -1.570795621404973] = -7.674373375888075e-32
330: [-1.5707944245670638, -1.5707956919406862] = -6.216280968474429e-32
331: [-1.5707946147841605, -1.5707957554234513] = -5.035215675673641e-32
332: [-1.570794785980628, -1.5707958125584445] = -4.078545175871818e-32
333: [-1.5707949400583239, -1.570795863980347] = -3.303636521903976e-32
334: [-1.570795078728959, -1.5707959102603903] = -2.6759564664726997e-32
335: [-1.570795203533105, -1.5707959519126975] = -2.167532672371619e-32
336: [-1.5707953158573014, -1.5707959893999912] = -1.7557072488528037e-32
337: [-1.5707954169494547, -1.5707960231387315] = -1.4221270888673083e-32
338: [-1.5707955079326978, -1.5707960535037404] = -1.1519260156544874e-32
339: [-1.570795589817864, -1.5707960808323638] = -9.330623136702056e-33
340: [-1.5707956635147138, -1.5707961054282185] = -7.557821073634877e-33
341: [-1.5707957298420407, -1.5707961275645634] = -6.121846975109745e-33
342: [-1.5707957895367664, -1.570796147487335] = -4.958704733600742e-33
343: [-1.5707958432621258, -1.5707961654178793] = -4.0165571653535675e-33
344: [-1.5707958916150355, -1.5707961815554095] = -3.253415915642302e-33
345: [-1.570795935132724, -1.5707961960792192] = -2.635270254525783e-33
